Title,Body,User_login,Author_association,Label_name_list,State,Created_at,Comments,Comments_url,Html_url,Id,Url,Repository_url,User_url,User_id,User_html_url,repo_id,repo_name,repo_html_url,repo_description,repo_fork,repo_created_at,repo_updated_at,repo_forks,repo_stars,repo_language,user_created_at,user_updated_at,user_followers,user_public_repos,bio
Associate with file type,"Allow olv to be opened by double-clicking on a file

cursory readings
http://stackoverflow.com/questions/1141095/associate-a-custom-file-extension-with-my-java-program-on-windows
http://stackoverflow.com/questions/7361881/java-creating-a-new-file-extension-in-a-program
http://stackoverflow.com/questions/2043029/utilising-a-file-association-in-a-java-application
",codebling,OWNER,Enhancement/,open,2012-03-19T16:31:36Z,0,https://api.github.com/repos/codebling/Atros/issues/11/comments,https://github.com/codebling/Atros/issues/11,3713021,https://api.github.com/repos/codebling/Atros/issues/11,https://api.github.com/repos/codebling/Atros,https://api.github.com/users/codebling,1073841,https://github.com/codebling,2464185,Atros,https://github.com/codebling/Atros,"**THIS PROJECT IS NO LONGER MAINTAINED.** Atros is a log viewer. It's geared towards the Java logging frameworks (http://en.wikipedia.org/wiki/Java_logging_framework), but should be able to parse most logs. Atros uses VFS2, which helps to abstract access to remote files, so that you can tail files on remote servers with ease. It is a fork of Otros Log Viewer (http://code.google.com/p/otroslogviewer/) with a few new features. 'Atros' is a homophone of the French word 'atroce', meaning 'atrocious'.",FALSE,2011-09-26T23:40:00Z,2020-04-03T05:42:31Z,0,0,Java,2011-09-23T12:42:12Z,2020-06-27T06:54:01Z,17,51,Fullstack dev.
Implement JSR-303 client-side validation,"I started a post on stackoverflow.com that describes what I want to be able to do, here: http://stackoverflow.com/questions/9122802/in-search-of-a-gwt-validation-example-where-art-thou.
",fastnsilver,OWNER,enhancement/question/,open,2012-03-06T05:27:32Z,0,https://api.github.com/repos/fastnsilver/gwt-ui-experiments/issues/2/comments,https://github.com/fastnsilver/gwt-ui-experiments/issues/2,3519385,https://api.github.com/repos/fastnsilver/gwt-ui-experiments/issues/2,https://api.github.com/repos/fastnsilver/gwt-ui-experiments,https://api.github.com/users/fastnsilver,1442073,https://github.com/fastnsilver,3631571,gwt-ui-experiments,https://github.com/fastnsilver/gwt-ui-experiments,A web application with intention of integrating and testing various GWT components and capabilities in addition to other third-party frameworks and components.,FALSE,2012-03-05T21:27:10Z,2014-02-22T01:25:03Z,1,1,Java,2012-02-16T04:20:07Z,2019-12-16T12:51:07Z,6,15,
Making the Repository Private,"Customer does not want the project to be open source. Have to make repo private.
Options:
- pay
- http://book.git-scm.com/4_setting_up_a_private_repository.html
- use Unfuddle: http://stackoverflow.com/questions/2378120/is-there-a-free-private-git-repository
- use Assembla: https://www.assembla.com/catalog/51
- http://stackoverflow.com/questions/109440/best-git-repository-hosting-for-a-commercial-project
",arviecarpio,OWNER,None,open,2012-03-25T22:13:31Z,0,https://api.github.com/repos/arviecarpio/Part-IV-Project/issues/8/comments,https://github.com/arviecarpio/Part-IV-Project/issues/8,3800979,https://api.github.com/repos/arviecarpio/Part-IV-Project/issues/8,https://api.github.com/repos/arviecarpio/Part-IV-Project,https://api.github.com/users/arviecarpio,1538338,https://github.com/arviecarpio,3798634,Part-IV-Project,https://github.com/arviecarpio/Part-IV-Project,Secure Patient Smartphone App which communicates back to Health Care Provider (Doctor),FALSE,2012-03-22T14:37:25Z,2014-01-08T05:49:33Z,0,1,,2012-03-14T22:40:44Z,2015-04-07T15:38:15Z,1,4,
Two bug fixes for sqlite3 database connector,"1) In the first instance, an invalid database configuration can sometimes result in a failure to connect to the SQLite database without an error. As no error is caught by CakePhP, PhP itself throws a fatal error on line 221 as no $connection object exists. This bug fix forces the _execute() function to check that the database is in fact connected - if not, CakePhP gracefully throws a helpful error message to the user.

Reported here: http://stackoverflow.com/questions/4779007/cakephp-and-sqlite-fatal-error-call-to-a-member-function-query-on-a-non-obje, here: http://stackoverflow.com/questions/7107996/fatal-error-call-to-a-member-function-query-on-a-non-object-in-var-www-likes, and here: http://stackoverflow.com/questions/7572091/error-while-trying-to-connect-to-sqlite3-database-from-cakephp
To reproduce: set $config['connect'] to an invalid value.

2) In the second instance, the sqlite driver ignores SQL views. Changing the SQL query to read ""SELECT name FROM sqlite_master WHERE type='table' OR type='view'"" where it previously read just ""type='table'"" fixes this problem.

All the best,

Daniel
",dm-coding,NONE,sqlite3/,open,2012-03-26T21:21:35Z,1,https://api.github.com/repos/cakephp/datasources/issues/31/comments,https://github.com/cakephp/datasources/pull/31,3817033,https://api.github.com/repos/cakephp/datasources/issues/31,https://api.github.com/repos/cakephp/datasources,https://api.github.com/users/dm-coding,1577064,https://github.com/dm-coding,393753,datasources,https://github.com/cakephp/datasources,CakePHP Datasources,FALSE,2009-12-03T05:07:40Z,2020-04-30T20:18:27Z,126,239,PHP,2012-03-26T17:15:32Z,2018-10-11T11:44:28Z,12,30,
Use ASM to analyze code,"http://stackoverflow.com/questions/930289/how-can-i-find-all-the-methods-that-call-a-given-method-in-java
",marlonrichert,CONTRIBUTOR,None,open,2012-03-08T14:54:38Z,0,https://api.github.com/repos/vaadin/Graph-Explorer-demo/issues/3/comments,https://github.com/vaadin/Graph-Explorer-demo/issues/3,3563851,https://api.github.com/repos/vaadin/Graph-Explorer-demo/issues/3,https://api.github.com/repos/vaadin/Graph-Explorer-demo,https://api.github.com/users/marlonrichert,644725,https://github.com/marlonrichert,3169427,Graph-Explorer-demo,https://github.com/vaadin/Graph-Explorer-demo,,FALSE,2012-01-13T08:31:10Z,2020-02-08T14:11:07Z,8,6,Java,2011-03-01T13:02:47Z,2020-06-16T13:34:34Z,18,21,
Protect against replay attacks with a nonce or timestamp,"Some possibly relevant info here: http://stackoverflow.com/questions/2540228/implementing-a-2-legged-oauth-provider
",amrox,OWNER,None,open,2012-03-20T05:27:49Z,0,https://api.github.com/repos/amrox/django-tastypie-two-legged-oauth/issues/2/comments,https://github.com/amrox/django-tastypie-two-legged-oauth/issues/2,3723017,https://api.github.com/repos/amrox/django-tastypie-two-legged-oauth/issues/2,https://api.github.com/repos/amrox/django-tastypie-two-legged-oauth,https://api.github.com/users/amrox,47537,https://github.com/amrox,2718677,django-tastypie-two-legged-oauth,https://github.com/amrox/django-tastypie-two-legged-oauth,Simple 2-legged OAuth authentication model for django tastypie.,TRUE,2011-11-06T03:54:23Z,2020-01-07T01:42:53Z,4,22,Python,2009-01-18T22:40:17Z,2020-06-17T22:38:55Z,67,57,
Determinar qual botão será o default do form,"http://stackoverflow.com/questions/925334/how-is-the-default-submit-button-on-an-html-form-determined
",sidneylimafilho,OWNER,None,open,2012-03-26T15:58:35Z,0,https://api.github.com/repos/sidneylimafilho/smartizer/issues/2/comments,https://github.com/sidneylimafilho/smartizer/issues/2,3811157,https://api.github.com/repos/sidneylimafilho/smartizer/issues/2,https://api.github.com/repos/sidneylimafilho/smartizer,https://api.github.com/users/sidneylimafilho,488465,https://github.com/sidneylimafilho,1123124,smartizer,https://github.com/sidneylimafilho/smartizer,jquery plugin to develop rapid applications,FALSE,2010-11-29T19:33:02Z,2014-02-05T12:52:40Z,1,3,JavaScript,2010-11-19T13:43:17Z,2020-05-07T23:38:47Z,16,14,
Add configuration for full path to firefox,"---

Author Name: **Maximilien Bersoult** (Maximilien Bersoult)
Original Redmine Issue: 3187, https://forge.centreon.com/issues/3187
Original Date: 2012-03-26
Original Assignee: Maximilien Bersoult

---

Add configuration full path for firefox (know issue/requierement - see 
- http://stackoverflow.com/questions/3436076/firefox-not-closing-after-selenium-tests-are-run
- http://stackoverflow.com/questions/1344026/how-to-explicitly-specify-a-path-to-firefox-for-selenium
- http://dev.e-taxonomy.eu/trac/wiki/TestingSelenium)
",centreon,COLLABORATOR,enhancement/,open,2012-03-26T14:32:24Z,0,https://api.github.com/repos/centreon/centreon-web-application-analytics/issues/26/comments,https://github.com/centreon/centreon-web-application-analytics/issues/26,96798698,https://api.github.com/repos/centreon/centreon-web-application-analytics/issues/26,https://api.github.com/repos/centreon/centreon-web-application-analytics,https://api.github.com/users/centreon,1890152,https://github.com/centreon,35102234,centreon-web-application-analytics,https://github.com/centreon/centreon-web-application-analytics,A Centreon module to check web site with web scenarii powered by Selenium,FALSE,2015-05-05T13:42:19Z,2020-02-08T17:51:31Z,2,3,Shell,2012-06-25T15:10:15Z,2019-05-20T09:05:21Z,0,75,
Fix for issue 149,"currentStyle is Async in IE, and/or may be null if an element is created using createElement.  Either way, PIE needs to make sure currentStyle is present before accessing its methods.

(see http://stackoverflow.com/questions/3722736/weird-ie-behavior-currentstyle-returns-null)
",gruber76,NONE,None,open,2012-03-19T03:23:11Z,9,https://api.github.com/repos/lojjic/PIE/issues/203/comments,https://github.com/lojjic/PIE/pull/203,3704785,https://api.github.com/repos/lojjic/PIE/issues/203,https://api.github.com/repos/lojjic/PIE,https://api.github.com/users/gruber76,1123381,https://github.com/gruber76,560347,PIE,https://github.com/lojjic/PIE,A behavior for Internet Explorer allowing it to recognize and render various CSS3 box decoration properties,FALSE,2010-03-13T04:43:59Z,2020-06-19T14:37:05Z,247,2837,HTML,2011-10-12T18:55:03Z,2020-06-03T09:46:05Z,2,21,
love.image with 2d canvas contexts,"http://www.w3.org/TR/2dcontext/#images
http://www.w3.org/TR/2dcontext/#pixel-manipulation
http://stackoverflow.com/a/9048238/1185957
",dannyfritz,CONTRIBUTOR,None,open,2012-03-24T19:24:39Z,0,https://api.github.com/repos/ghoulsblade/love-webplayer/issues/5/comments,https://github.com/ghoulsblade/love-webplayer/issues/5,3793953,https://api.github.com/repos/ghoulsblade/love-webplayer/issues/5,https://api.github.com/repos/ghoulsblade/love-webplayer,https://api.github.com/users/dannyfritz,315788,https://github.com/dannyfritz,3756363,love-webplayer,https://github.com/ghoulsblade/love-webplayer,WebPlayer for Love2D engine games (webgl+javascript),FALSE,2012-03-18T16:51:59Z,2020-06-23T04:06:07Z,26,222,JavaScript,2010-06-27T16:36:16Z,2020-06-17T14:26:36Z,190,152,
